ChangesOfLane;AvgSpeed;Density;Flow
1.0;1.896551724137931;0.29;0.5499999999999999
3.0;2.1923076923076925;0.26;0.5700000000000001
3.0;2.16;0.25;0.54
3.0;2.0;0.24;0.48
3.0;2.25;0.24;0.54
3.0;2.347826086956522;0.23;0.54
3.0;2.1739130434782608;0.23;0.5
6.0;2.1363636363636362;0.22;0.47
7.0;2.272727272727273;0.22;0.5
8.0;2.789473684210526;0.19;0.5299999999999999
8.0;3.0;0.17;0.51
8.0;3.2666666666666666;0.15;0.49
8.0;3.6153846153846154;0.13;0.47000000000000003
8.0;3.4166666666666665;0.12;0.41
8.0;3.8461538461538463;0.13;0.5
9.0;3.769230769230769;0.13;0.49
9.0;3.6666666666666665;0.12;0.43999999999999995
9.0;3.769230769230769;0.13;0.49
9.0;3.857142857142857;0.14;0.54
9.0;3.6666666666666665;0.12;0.43999999999999995
9.0;3.3076923076923075;0.13;0.43
9.0;3.6923076923076925;0.13;0.48000000000000004
9.0;3.6666666666666665;0.12;0.43999999999999995
9.0;3.6153846153846154;0.13;0.47000000000000003
9.0;3.4285714285714284;0.14;0.48000000000000004
9.0;3.6923076923076925;0.13;0.48000000000000004
9.0;3.6666666666666665;0.12;0.43999999999999995
9.0;3.769230769230769;0.13;0.49
9.0;3.6923076923076925;0.13;0.48000000000000004
9.0;3.8181818181818183;0.11;0.42000000000000004
9.0;3.3333333333333335;0.12;0.4
9.0;3.8333333333333335;0.12;0.46
9.0;3.3333333333333335;0.12;0.4
9.0;3.5833333333333335;0.12;0.43
9.0;3.6153846153846154;0.13;0.47000000000000003
9.0;3.7857142857142856;0.14;0.53
9.0;3.769230769230769;0.13;0.49
9.0;3.5833333333333335;0.12;0.43
9.0;3.4615384615384617;0.13;0.45
9.0;3.6923076923076925;0.13;0.48000000000000004
9.0;3.5384615384615383;0.13;0.46
9.0;3.2857142857142856;0.14;0.46
9.0;3.8461538461538463;0.13;0.5
9.0;4.0;0.12;0.48
9.0;3.25;0.12;0.39
9.0;3.0;0.13;0.39
9.0;3.3333333333333335;0.09;0.3
10.0;3.4615384615384617;0.13;0.45
10.0;3.75;0.12;0.44999999999999996
10.0;3.4615384615384617;0.13;0.45
10.0;3.5;0.12;0.42
10.0;3.727272727272727;0.11;0.41
10.0;3.4166666666666665;0.12;0.41
10.0;3.3333333333333335;0.12;0.4
10.0;3.5833333333333335;0.12;0.43
10.0;3.5;0.1;0.35000000000000003
10.0;3.6153846153846154;0.13;0.47000000000000003
10.0;4.0;0.12;0.48
10.0;3.3333333333333335;0.12;0.4
10.0;3.5833333333333335;0.12;0.43
10.0;3.6923076923076925;0.13;0.48000000000000004
10.0;3.6153846153846154;0.13;0.47000000000000003
10.0;3.6923076923076925;0.13;0.48000000000000004
10.0;3.7857142857142856;0.14;0.53
10.0;3.4545454545454546;0.11;0.38
11.0;3.5454545454545454;0.11;0.39
12.0;3.6923076923076925;0.13;0.48000000000000004
13.0;3.142857142857143;0.14;0.44000000000000006
14.0;3.9166666666666665;0.12;0.47
14.0;3.6153846153846154;0.13;0.47000000000000003
14.0;3.8181818181818183;0.11;0.42000000000000004
14.0;3.5833333333333335;0.12;0.43
14.0;3.4166666666666665;0.12;0.41
14.0;3.8333333333333335;0.12;0.46
14.0;3.8461538461538463;0.13;0.5
14.0;3.4166666666666665;0.12;0.41
14.0;3.3846153846153846;0.13;0.44
14.0;3.6153846153846154;0.13;0.47000000000000003
14.0;3.7142857142857144;0.14;0.52
14.0;3.6153846153846154;0.13;0.47000000000000003
14.0;3.357142857142857;0.14;0.47000000000000003
14.0;3.6923076923076925;0.13;0.48000000000000004
14.0;3.5;0.14;0.49000000000000005
14.0;3.6923076923076925;0.13;0.48000000000000004
14.0;3.6153846153846154;0.13;0.47000000000000003
14.0;3.6363636363636362;0.11;0.39999999999999997
14.0;3.4545454545454546;0.11;0.38
14.0;3.5833333333333335;0.12;0.43
14.0;3.6153846153846154;0.13;0.47000000000000003
14.0;3.8461538461538463;0.13;0.5
14.0;3.5;0.14;0.49000000000000005
14.0;3.6153846153846154;0.13;0.47000000000000003
15.0;3.4615384615384617;0.13;0.45
15.0;3.769230769230769;0.13;0.49
15.0;3.5833333333333335;0.12;0.43
15.0;3.7;0.1;0.37000000000000005
15.0;3.3333333333333335;0.12;0.4
15.0;3.6666666666666665;0.12;0.43999999999999995
16.0;3.6153846153846154;0.13;0.47000000000000003
16.0;3.3333333333333335;0.12;0.4
16.0;4.0;0.12;0.48
16.0;3.4615384615384617;0.13;0.45
16.0;3.75;0.12;0.44999999999999996
16.0;3.5384615384615383;0.13;0.46
16.0;3.6666666666666665;0.12;0.43999999999999995
17.0;3.5454545454545454;0.11;0.39
18.0;3.4166666666666665;0.12;0.41
18.0;3.9166666666666665;0.12;0.47
18.0;3.5;0.12;0.42
18.0;3.75;0.12;0.44999999999999996
19.0;3.6363636363636362;0.11;0.39999999999999997
19.0;3.5833333333333335;0.12;0.43
19.0;3.75;0.12;0.44999999999999996
19.0;3.3846153846153846;0.13;0.44
20.0;3.5833333333333335;0.12;0.43
21.0;3.9285714285714284;0.14;0.55
21.0;3.5833333333333335;0.12;0.43
21.0;3.769230769230769;0.13;0.49
21.0;3.642857142857143;0.14;0.51
22.0;3.5454545454545454;0.11;0.39
22.0;3.5833333333333335;0.12;0.43
23.0;3.5;0.12;0.42
25.0;3.1;0.1;0.31000000000000005
25.0;3.5833333333333335;0.12;0.43
25.0;3.6923076923076925;0.13;0.48000000000000004
25.0;3.9166666666666665;0.12;0.47
25.0;3.5;0.12;0.42
25.0;3.4545454545454546;0.11;0.38
25.0;3.5384615384615383;0.13;0.46
25.0;3.8;0.1;0.38
26.0;3.6363636363636362;0.11;0.39999999999999997
27.0;3.6666666666666665;0.12;0.43999999999999995
27.0;3.5833333333333335;0.12;0.43
27.0;3.5;0.12;0.42
27.0;3.8333333333333335;0.12;0.46
27.0;3.3846153846153846;0.13;0.44
27.0;3.6923076923076925;0.13;0.48000000000000004
27.0;3.3846153846153846;0.13;0.44
27.0;3.8333333333333335;0.12;0.46
27.0;3.642857142857143;0.14;0.51
27.0;3.9166666666666665;0.12;0.47
27.0;3.4166666666666665;0.12;0.41
27.0;3.6153846153846154;0.13;0.47000000000000003
27.0;3.769230769230769;0.13;0.49
27.0;3.75;0.12;0.44999999999999996
27.0;3.6923076923076925;0.13;0.48000000000000004
28.0;3.6666666666666665;0.12;0.43999999999999995
28.0;3.5454545454545454;0.11;0.39
28.0;3.6923076923076925;0.13;0.48000000000000004
28.0;2.8461538461538463;0.13;0.37000000000000005
30.0;3.1818181818181817;0.11;0.35
31.0;3.6666666666666665;0.12;0.43999999999999995
31.0;3.5714285714285716;0.14;0.5000000000000001
31.0;3.727272727272727;0.11;0.41
31.0;3.75;0.12;0.44999999999999996
31.0;3.5454545454545454;0.11;0.39
31.0;3.5454545454545454;0.11;0.39
31.0;3.8333333333333335;0.12;0.46
31.0;3.5;0.12;0.42
31.0;3.75;0.12;0.44999999999999996
31.0;3.642857142857143;0.14;0.51
31.0;3.5;0.12;0.42
33.0;3.6666666666666665;0.12;0.43999999999999995
33.0;3.3846153846153846;0.13;0.44
34.0;3.5833333333333335;0.12;0.43
34.0;3.5714285714285716;0.14;0.5000000000000001
34.0;3.142857142857143;0.14;0.44000000000000006
35.0;3.0714285714285716;0.14;0.43000000000000005
35.0;3.4615384615384617;0.13;0.45
35.0;4.0;0.12;0.48
35.0;3.4166666666666665;0.12;0.41
35.0;3.8333333333333335;0.12;0.46
35.0;3.7142857142857144;0.14;0.52
35.0;3.6666666666666665;0.12;0.43999999999999995
35.0;3.4166666666666665;0.12;0.41
35.0;3.6153846153846154;0.13;0.47000000000000003
35.0;3.5833333333333335;0.12;0.43
35.0;3.6923076923076925;0.13;0.48000000000000004
35.0;3.6923076923076925;0.13;0.48000000000000004
35.0;3.3333333333333335;0.12;0.4
35.0;3.6666666666666665;0.12;0.43999999999999995
35.0;3.769230769230769;0.13;0.49
35.0;3.6666666666666665;0.12;0.43999999999999995
35.0;3.5833333333333335;0.12;0.43
35.0;3.4166666666666665;0.12;0.41
35.0;3.75;0.12;0.44999999999999996
35.0;3.642857142857143;0.14;0.51
35.0;3.4285714285714284;0.14;0.48000000000000004
36.0;3.5384615384615383;0.13;0.46
37.0;3.6666666666666665;0.12;0.43999999999999995
37.0;3.6666666666666665;0.12;0.43999999999999995
37.0;3.3333333333333335;0.12;0.4
37.0;3.3333333333333335;0.12;0.4
37.0;3.6153846153846154;0.13;0.47000000000000003
37.0;3.2857142857142856;0.14;0.46
37.0;3.230769230769231;0.13;0.42000000000000004
37.0;3.5384615384615383;0.13;0.46
37.0;3.6666666666666665;0.12;0.43999999999999995
37.0;3.8;0.1;0.38
37.0;3.25;0.12;0.39
