ChangesOfLane;AvgSpeed;Density;Flow
0.0;0.8125;0.48;0.39
0.0;1.0476190476190477;0.42;0.44
1.0;1.358974358974359;0.39;0.53
1.0;1.3823529411764706;0.34;0.47000000000000003
2.0;1.5;0.32;0.48
3.0;1.8275862068965518;0.29;0.53
3.0;2.1923076923076925;0.26;0.5700000000000001
3.0;2.3043478260869565;0.23;0.53
3.0;2.142857142857143;0.21;0.44999999999999996
8.0;3.3529411764705883;0.17;0.5700000000000001
9.0;3.4;0.15;0.51
10.0;3.769230769230769;0.13;0.49
10.0;3.727272727272727;0.11;0.41
10.0;3.5833333333333335;0.12;0.43
10.0;3.6923076923076925;0.13;0.48000000000000004
10.0;3.8461538461538463;0.13;0.5
10.0;3.3846153846153846;0.13;0.44
10.0;3.75;0.12;0.44999999999999996
10.0;3.9166666666666665;0.12;0.47
10.0;3.8333333333333335;0.12;0.46
11.0;3.6;0.1;0.36000000000000004
11.0;3.5;0.12;0.42
11.0;3.3846153846153846;0.13;0.44
12.0;3.6923076923076925;0.13;0.48000000000000004
13.0;3.6923076923076925;0.13;0.48000000000000004
13.0;3.8181818181818183;0.11;0.42000000000000004
14.0;3.9166666666666665;0.12;0.47
16.0;3.8333333333333335;0.12;0.46
16.0;3.6666666666666665;0.12;0.43999999999999995
16.0;3.0;0.12;0.36
17.0;3.769230769230769;0.13;0.49
18.0;3.8333333333333335;0.12;0.46
18.0;3.8461538461538463;0.13;0.5
18.0;3.6923076923076925;0.13;0.48000000000000004
18.0;3.5;0.12;0.42
18.0;3.8461538461538463;0.13;0.5
18.0;3.3333333333333335;0.12;0.4
19.0;3.75;0.12;0.44999999999999996
19.0;3.727272727272727;0.11;0.41
19.0;3.3333333333333335;0.12;0.4
19.0;3.8333333333333335;0.12;0.46
21.0;3.5;0.12;0.42
21.0;3.3076923076923075;0.13;0.43
21.0;3.4166666666666665;0.12;0.41
21.0;3.642857142857143;0.14;0.51
21.0;3.6666666666666665;0.12;0.43999999999999995
22.0;3.3333333333333335;0.12;0.4
22.0;3.4166666666666665;0.12;0.41
22.0;3.25;0.12;0.39
22.0;3.6153846153846154;0.13;0.47000000000000003
