ChangesOfLane;AvgSpeed;Density;Flow
10.0;0.7540983606557377;0.488;0.368
24.0;0.6904761904761905;0.504;0.348
32.0;0.518796992481203;0.532;0.276
43.0;0.4;0.56;0.22400000000000003
56.0;0.3013698630136986;0.584;0.176
62.0;0.32666666666666666;0.6;0.19599999999999998
71.0;0.3137254901960784;0.612;0.192
76.0;0.3375796178343949;0.628;0.212
85.0;0.3184713375796178;0.628;0.19999999999999998
97.0;0.28846153846153844;0.624;0.18
113.0;0.2564102564102564;0.624;0.15999999999999998
131.0;0.28662420382165604;0.628;0.18
149.0;0.3291139240506329;0.632;0.208
160.0;0.31210191082802546;0.628;0.19599999999999998
176.0;0.2929936305732484;0.628;0.184
184.0;0.3141025641025641;0.624;0.196
212.0;0.3670886075949367;0.632;0.232
219.0;0.3184713375796178;0.628;0.19999999999999998
231.0;0.3269230769230769;0.624;0.20400000000000001
243.0;0.33974358974358976;0.624;0.21200000000000002
248.0;0.2645161290322581;0.62;0.164
261.0;0.3184713375796178;0.628;0.19999999999999998
277.0;0.310126582278481;0.632;0.196
289.0;0.25161290322580643;0.62;0.15599999999999997
294.0;0.2802547770700637;0.628;0.176
307.0;0.2929936305732484;0.628;0.184
318.0;0.310126582278481;0.632;0.196
328.0;0.2611464968152866;0.628;0.164
340.0;0.2974683544303797;0.632;0.18799999999999997
355.0;0.25477707006369427;0.628;0.16
367.0;0.2721518987341772;0.632;0.17200000000000001
382.0;0.3248407643312102;0.628;0.204
402.0;0.34615384615384615;0.624;0.216
412.0;0.33974358974358976;0.624;0.21200000000000002
424.0;0.28205128205128205;0.624;0.176
430.0;0.3375796178343949;0.628;0.212
442.0;0.2974683544303797;0.632;0.18799999999999997
459.0;0.3525641025641026;0.624;0.22
468.0;0.2692307692307692;0.624;0.16799999999999998
481.0;0.3269230769230769;0.624;0.20400000000000001
489.0;0.3375796178343949;0.628;0.212
497.0;0.33544303797468356;0.632;0.21200000000000002
511.0;0.31210191082802546;0.628;0.19599999999999998
515.0;0.3227848101265823;0.632;0.20400000000000001
523.0;0.2484076433121019;0.628;0.156
539.0;0.3184713375796178;0.628;0.19999999999999998
558.0;0.33544303797468356;0.632;0.21200000000000002
575.0;0.2929936305732484;0.628;0.184
585.0;0.28205128205128205;0.624;0.176
594.0;0.3269230769230769;0.624;0.20400000000000001
606.0;0.3269230769230769;0.624;0.20400000000000001
611.0;0.29936305732484075;0.628;0.188
627.0;0.32051282051282054;0.624;0.2
637.0;0.36538461538461536;0.624;0.22799999999999998
651.0;0.3375796178343949;0.628;0.212
665.0;0.28846153846153844;0.624;0.18
678.0;0.29936305732484075;0.628;0.188
689.0;0.29936305732484075;0.628;0.188
701.0;0.3018867924528302;0.636;0.192
718.0;0.31210191082802546;0.628;0.19599999999999998
730.0;0.32051282051282054;0.624;0.2
736.0;0.34394904458598724;0.628;0.216
746.0;0.25949367088607594;0.632;0.164
755.0;0.2929936305732484;0.628;0.184
765.0;0.28846153846153844;0.624;0.18
777.0;0.2848101265822785;0.632;0.18000000000000002
789.0;0.3503184713375796;0.628;0.21999999999999997
800.0;0.31210191082802546;0.628;0.19599999999999998
811.0;0.3032258064516129;0.62;0.188
824.0;0.33121019108280253;0.628;0.208
834.0;0.3525641025641026;0.624;0.22
843.0;0.3291139240506329;0.632;0.208
853.0;0.33544303797468356;0.632;0.21200000000000002
862.0;0.25949367088607594;0.632;0.164
866.0;0.27848101265822783;0.632;0.176
874.0;0.3375796178343949;0.628;0.212
881.0;0.2911392405063291;0.632;0.184
897.0;0.28205128205128205;0.624;0.176
912.0;0.3057324840764331;0.628;0.192
924.0;0.2802547770700637;0.628;0.176
941.0;0.3503184713375796;0.628;0.21999999999999997
950.0;0.3057324840764331;0.628;0.192
960.0;0.33544303797468356;0.632;0.21200000000000002
963.0;0.3076923076923077;0.624;0.192
968.0;0.3141025641025641;0.624;0.196
977.0;0.29936305732484075;0.628;0.188
984.0;0.2911392405063291;0.632;0.184
994.0;0.31210191082802546;0.628;0.19599999999999998
1016.0;0.3076923076923077;0.624;0.192
1026.0;0.3269230769230769;0.624;0.20400000000000001
1036.0;0.30128205128205127;0.624;0.188
1046.0;0.33544303797468356;0.632;0.21200000000000002
1055.0;0.2948717948717949;0.624;0.184
1063.0;0.2929936305732484;0.628;0.184
1079.0;0.35668789808917195;0.628;0.22399999999999998
1099.0;0.30128205128205127;0.624;0.188
1121.0;0.3057324840764331;0.628;0.192
1142.0;0.3503184713375796;0.628;0.21999999999999997
1150.0;0.3375796178343949;0.628;0.212
1162.0;0.27741935483870966;0.62;0.172
