ChangesOfLane;AvgSpeed;Density;Flow
0.0;0.9130434782608695;0.46;0.42
0.0;1.3157894736842106;0.38;0.5
0.0;1.5806451612903225;0.31;0.49
0.0;2.0344827586206895;0.29;0.59
0.0;2.875;0.24;0.69
0.0;2.9473684210526314;0.19;0.5599999999999999
1.0;3.6;0.15;0.54
3.0;3.5;0.12;0.42
3.0;3.6153846153846154;0.13;0.47000000000000003
4.0;3.076923076923077;0.13;0.4
4.0;3.4285714285714284;0.14;0.48000000000000004
4.0;3.5833333333333335;0.12;0.43
4.0;3.5384615384615383;0.13;0.46
4.0;3.6923076923076925;0.13;0.48000000000000004
4.0;4.0;0.11;0.44
4.0;3.8333333333333335;0.12;0.46
4.0;3.5384615384615383;0.13;0.46
4.0;4.076923076923077;0.13;0.53
4.0;3.727272727272727;0.11;0.41
4.0;3.5;0.14;0.49000000000000005
4.0;3.769230769230769;0.13;0.49
4.0;3.4166666666666665;0.12;0.41
4.0;3.6153846153846154;0.13;0.47000000000000003
4.0;3.75;0.12;0.44999999999999996
4.0;3.4166666666666665;0.12;0.41
4.0;3.8461538461538463;0.13;0.5
5.0;3.727272727272727;0.11;0.41
5.0;3.4545454545454546;0.11;0.38
5.0;3.8461538461538463;0.13;0.5
5.0;3.5384615384615383;0.13;0.46
5.0;3.2857142857142856;0.14;0.46
6.0;3.75;0.12;0.44999999999999996
6.0;3.75;0.12;0.44999999999999996
6.0;3.8181818181818183;0.11;0.42000000000000004
6.0;3.5384615384615383;0.13;0.46
6.0;3.6666666666666665;0.12;0.43999999999999995
6.0;3.6666666666666665;0.12;0.43999999999999995
6.0;3.8333333333333335;0.12;0.46
6.0;3.75;0.12;0.44999999999999996
8.0;3.75;0.12;0.44999999999999996
8.0;3.5384615384615383;0.13;0.46
9.0;3.769230769230769;0.13;0.49
9.0;3.5;0.12;0.42
9.0;3.5714285714285716;0.14;0.5000000000000001
9.0;3.5384615384615383;0.13;0.46
10.0;3.5384615384615383;0.13;0.46
12.0;3.3846153846153846;0.13;0.44
13.0;3.6153846153846154;0.13;0.47000000000000003
15.0;3.4166666666666665;0.12;0.41
16.0;3.3333333333333335;0.12;0.4
16.0;3.5833333333333335;0.12;0.43
17.0;3.5833333333333335;0.12;0.43
18.0;3.25;0.12;0.39
19.0;3.4545454545454546;0.11;0.38
20.0;3.75;0.12;0.44999999999999996
20.0;3.8461538461538463;0.13;0.5
20.0;3.75;0.12;0.44999999999999996
20.0;3.272727272727273;0.11;0.36000000000000004
20.0;3.4545454545454546;0.11;0.38
21.0;3.6923076923076925;0.13;0.48000000000000004
21.0;3.4615384615384617;0.13;0.45
21.0;3.8181818181818183;0.11;0.42000000000000004
21.0;3.5;0.12;0.42
21.0;3.5;0.14;0.49000000000000005
22.0;3.6153846153846154;0.13;0.47000000000000003
22.0;3.25;0.12;0.39
23.0;3.5384615384615383;0.13;0.46
23.0;3.230769230769231;0.13;0.42000000000000004
23.0;3.5833333333333335;0.12;0.43
23.0;3.75;0.12;0.44999999999999996
23.0;3.4615384615384617;0.13;0.45
24.0;3.8333333333333335;0.12;0.46
25.0;3.4615384615384617;0.13;0.45
25.0;3.7142857142857144;0.14;0.52
25.0;3.6923076923076925;0.13;0.48000000000000004
26.0;3.909090909090909;0.11;0.43
27.0;3.5833333333333335;0.12;0.43
27.0;3.5833333333333335;0.12;0.43
27.0;3.75;0.12;0.44999999999999996
27.0;3.6666666666666665;0.12;0.43999999999999995
27.0;3.8461538461538463;0.13;0.5
27.0;3.5384615384615383;0.13;0.46
28.0;3.5384615384615383;0.13;0.46
28.0;3.5384615384615383;0.13;0.46
29.0;3.6666666666666665;0.12;0.43999999999999995
30.0;3.9166666666666665;0.12;0.47
30.0;3.230769230769231;0.13;0.42000000000000004
30.0;3.769230769230769;0.13;0.49
30.0;3.6153846153846154;0.13;0.47000000000000003
31.0;3.6923076923076925;0.13;0.48000000000000004
31.0;3.8461538461538463;0.13;0.5
31.0;3.8181818181818183;0.11;0.42000000000000004
32.0;3.6666666666666665;0.12;0.43999999999999995
32.0;3.9166666666666665;0.12;0.47
32.0;3.6666666666666665;0.12;0.43999999999999995
34.0;3.6153846153846154;0.13;0.47000000000000003
35.0;3.5384615384615383;0.13;0.46
35.0;3.3333333333333335;0.12;0.4
35.0;3.3846153846153846;0.13;0.44
35.0;3.3076923076923075;0.13;0.43
